Sicil no: 1 ,İsim Ahmet Yilmaz ; Gereken satis 12000
Sicil no: 2 ,İsim Ayse Kara Yildirim ; Gereken satis 15000
Sicil no: 3 ,İsim Mehmet Demir Kucuk ; Gereken satis 10000
Sicil no: 4 ,İsim Hasan Yavuz Altun ; Gereken satis 14000
Sicil no: 5 ,İsim Fatma Yildirim Aksu ; Gereken satis 13000
Sicil no: 6 ,İsim Ali Cakmak Sahin ; Gereken satis 11000
Sicil no: 7 ,İsim Zeynep Ozturk Cakir ; Gereken satis 9000
Sicil no: 8 ,İsim Murat Kaya Yasar ; Gereken satis 16000
Sicil no: 9 ,İsim Emine Gok Aydin ; Gereken satis 8000
Sicil no: 10 ,İsim Hakan Sari Altun ; Gereken satis 7000
Sicil no: 11 ,İsim Ali Can Kalkan ; Gereken satis 5000
Sicil no: 12 ,İsim Burcu Arslan Yavuz ; Gereken satis 2000
Sicil no: 13 ,İsim Selim Ozdemir Turan ; Gereken satis 4000
Sicil no: 14 ,İsim Yasemin Cevik Kara ; Gereken satis 3000
Sicil no: 15 ,İsim Cengiz Sahin Yavuz ; Gereken satis 6000
Sicil no: 16 ,İsim Elif Aksu Kaya ; Gereken satis 11000
Sicil no: 17 ,İsim Ibrahim Kucuk Kaya ; Gereken satis 0
Sicil no: 18 ,İsim Seda Dursun Kara ; Gereken satis 7000
Sicil no: 19 ,İsim Ahmet Koc Sahin ; Gereken satis 5000
Sicil no: 20 ,İsim Burak Yasar Kaya ; Gereken satis 12000
Sicil no: 21 ,İsim Ayse Yilmaz Ozturk ; Gereken satis 6000
Sicil no: 22 ,İsim Mustafa Kalkan Aksu ; Gereken satis 5000
Sicil no: 23 ,İsim Meryem Aksoy Arslan ; Gereken satis 9000
Sicil no: 24 ,İsim Yasin Cetin Koc ; Gereken satis 2000
Sicil no: 25 ,İsim Arif Demir Kaya ; Gereken satis 4000
Sicil no: 26 ,İsim Zeynep Uzun Sahin ; Gereken satis 3000
Sicil no: 27 ,İsim Serdar Yildirim Kalkan ; Gereken satis 1000
Sicil no: 28 ,İsim Gulsah Aydin Turan ; Gereken satis 5000
Sicil no: 29 ,İsim Emre Kaya Arslan ; Gereken satis 2000
Sicil no: 30 ,İsim Yasemin Demirci Kaya ; Gereken satis 3000
Sicil no: 31 ,İsim Cemre Kaya Sari ; Gereken satis 4000
Sicil no: 32 ,İsim Haluk Yavuz Koc ; Gereken satis 7000
Sicil no: 33 ,İsim Esra Altun Akbulut ; Gereken satis 9000
Sicil no: 34 ,İsim Okan Uzun Yavuz ; Gereken satis 6000
Sicil no: 35 ,İsim Cemal Sakar Cevik ; Gereken satis 7000
Sicil no: 36 ,İsim Selda Ozdemir Kucuk ; Gereken satis 5000
Sicil no: 37 ,İsim Ahmet Yasar Kaya ; Gereken satis 3000
Sicil no: 38 ,İsim Gamze Yavuz Altun ; Gereken satis 2000
Sicil no: 39 ,İsim Elif Cakir Turan ; Gereken satis 4000
Sicil no: 40 ,İsim Melek Ozdemir Kaya ; Gereken satis 5000
Sicil no: 41 ,İsim Selim Demirtaş Sahin ; Gereken satis 6000
Sicil no: 42 ,İsim Ayhan Turan Aydin ; Gereken satis 3000
Sicil no: 43 ,İsim Sibel Can Kaya ; Gereken satis 2000
Sicil no: 44 ,İsim Volkan Akbulut Yavuz ; Gereken satis 4000
Sicil no: 45 ,İsim Yasemin Akarsu Koc ; Gereken satis 5000
Sicil no: 46 ,İsim Gokhan Koc Sahin ; Gereken satis 6000
Sicil no: 47 ,İsim Cihan Yavuz Kaya ; Gereken satis 3000
Sicil no: 48 ,İsim Baran Kadir Yilmaz ; Gereken satis 5000
Sicil no: 49 ,İsim Veli Kucuk Kaya ; Gereken satis 6000
